,atomic_mass,poissons_ratio,atomic_radius,electrical_resistivity,molar_volume,thermal_conductivity,bulk_modulus,youngs_modulus,group,is_noble_gas,is_transition_metal,is_post_transition_metal,is_rare_earth_metal,is_metalloid,is_alkali,is_alkaline,is_halogen,is_lanthanoid,is_actinoid,van_der_waals_radius,velocity_of_sound,critical_temperature,superconduction_temperature,average_cationic_radius,average_anionic_radius,ionic_radii,boiling_point,vickers_hardness,average_ionic_radius,melting_point,rigidity_modulus,Z,number,density_of_solid,coefficient_of_linear_thermal_expansion
Fr,223.0,,,,,,,,1,False,False,False,False,False,True,False,False,False,False,3.48,,,,1.94,0.0,{1: 1.94},,,1.94,maybe about 300 K,,87,87,,
Ra,226.0,,2.15,1e-06,41.09,19.0,,,2,False,False,False,False,False,False,True,False,False,False,2.83,,,,1.62,0.0,{2: 1.62},2010.0,,1.62,973.0 K,,88,88,5000.0,
Lr,262.0,,,,,,,,17,False,False,False,True,False,False,False,False,False,True,,,,,0.0,0.0,{},,,0.0,1900.0 K,,103,103,,
La,138.90547,0.28,1.95,6.15e-07,22.39,13.0,28.0,37.0,3,False,True,False,True,False,False,False,False,True,False,,2475.0,,6.0,1.172,0.0,{3: 1.172},3743.0,491.0,1.172,1193.0 K,14.0,57,57,6146.0,1.21e-05
Ce,140.116,0.24,1.85,7.4e-07,20.69,11.0,22.0,34.0,4,False,False,False,True,False,False,False,False,True,False,,2100.0,,0.022,1.08,0.0,"{3: 1.15, 4: 1.01}",3633.0,270.0,1.08,1068.0 K,14.0,58,58,6689.0,6.3e-06
Pr,140.90765,0.28,1.85,7e-07,20.8,13.0,29.0,37.0,5,False,False,False,True,False,False,False,False,True,False,,2280.0,,,1.06,0.0,"{3: 1.13, 4: 0.99}",3563.0,400.0,1.06,1208.0 K,15.0,59,59,6640.0,6.7e-06
Nd,144.242,0.28,1.85,6.43e-07,20.59,17.0,32.0,41.0,6,False,False,False,True,False,False,False,False,True,False,,2330.0,,,1.2765,0.0,"{2: 1.43, 3: 1.123}",3373.0,343.0,1.2765,1297.0 K,16.0,60,60,6800.0,9.6e-06
Pm,145.0,0.28,1.85,7.5e-07,20.23,15.0,33.0,46.0,7,False,False,False,True,False,False,False,False,True,False,,,,,1.11,0.0,{3: 1.11},3273.0,,1.11,1373.0 K,18.0,61,61,7264.0,1.1e-05
Sm,150.36,0.27,1.85,9.4e-07,19.98,13.0,38.0,50.0,8,False,False,False,True,False,False,False,False,True,False,,2130.0,,,1.229,0.0,"{2: 1.36, 3: 1.0979999999999999}",2076.0,412.0,1.229,1345.0 K,20.0,62,62,7353.0,1.27e-05
Eu,151.964,0.15,1.85,9e-07,28.97,14.0,8.3,18.0,9,False,False,False,True,False,False,False,False,True,False,,,,,1.1985000000000001,0.0,"{2: 1.31, 3: 1.087}",1800.0,167.0,1.1985000000000001,1099.0 K,7.9,63,63,5244.0,3.5e-05
Gd,157.25,0.26,1.8,1.31e-06,19.9,11.0,38.0,55.0,10,False,False,False,True,False,False,False,False,True,False,,2680.0,,1.083,1.075,0.0,{3: 1.075},3523.0,570.0,1.075,1585.0 K,22.0,64,64,7901.0,9.4e-06
Tb,158.92535,0.26,1.75,1.15e-06,19.3,11.0,38.7,56.0,11,False,False,False,True,False,False,False,False,True,False,,2620.0,,,0.9815,0.0,"{3: 1.063, 4: 0.9}",3503.0,863.0,0.9815,1629.0 K,22.0,65,65,8219.0,1.03e-05
Dy,162.5,0.25,1.75,9.26e-07,19.01,11.0,41.0,61.0,12,False,False,False,True,False,False,False,False,True,False,,2710.0,,,1.131,0.0,"{2: 1.21, 3: 1.052}",2840.0,540.0,1.131,1680.0 K,25.0,66,66,8551.0,9.9e-06
Ho,164.93032,0.23,1.75,8.14e-07,18.74,16.0,40.0,65.0,13,False,False,False,True,False,False,False,False,True,False,,2760.0,,,1.041,0.0,{3: 1.041},2993.0,481.0,1.041,1734.0 K,26.0,67,67,8795.0,1.12e-05
Er,167.259,0.24,1.75,8.6e-07,18.46,15.0,44.0,70.0,14,False,False,False,True,False,False,False,False,True,False,,2830.0,,,1.03,0.0,{3: 1.03},3141.0,589.0,1.03,1802.0 K,28.0,68,68,9066.0,1.22e-05
Tm,168.93421,0.21,1.75,6.76e-07,19.1,17.0,45.0,74.0,15,False,False,False,True,False,False,False,False,True,False,,,,,1.095,0.0,"{2: 1.17, 3: 1.02}",2223.0,520.0,1.095,1818.0 K,31.0,69,69,9321.0,1.33e-05
Yb,173.04,0.21,1.75,2.5e-07,24.84,39.0,31.0,24.0,16,False,False,False,True,False,False,False,False,True,False,,1590.0,,,1.084,0.0,"{2: 1.16, 3: 1.008}",1469.0,206.0,1.084,1097.0 K,9.9,70,70,6570.0,2.63e-05
Lu,174.967,0.26,1.75,5.8e-07,17.78,16.0,48.0,69.0,17,False,False,False,True,False,False,False,False,True,False,,,,0.022,1.001,0.0,{3: 1.001},3675.0,1160.0,1.001,1925.0 K,27.0,71,71,9841.0,9.9e-06
